VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
734, 39455, -6.21283, -8.97762, -0.09735, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
735, 39419, -5.77575, -8.51854, -0.22205, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.99512, -0.09766,  0.00636, -1.00
736, 39465, -6.3242, -8.2555, -0.09735, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.99512, -0.09766,  0.00636, -1.00
737, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
738, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
739, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
740, 39455, -6.21283, -8.97762, -0.09735, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
741, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
742, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
743, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
744, 39465, -6.3242, -8.2555, -0.09735, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.99512, -0.09766,  0.00636, -1.00
745, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
746, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
747, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
748, 39498, -6.70559, -9.07564,  0.02731, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
749, 39455, -6.21283, -8.97762, -0.09735, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
750, 39511, -6.87265, -7.99246,  0.02731, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99512, -0.09766,  0.00636, -1.00
751, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
752, 39465, -6.3242, -8.2555, -0.09735, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.99512, -0.09766,  0.00636, -1.00
753, 39465, -6.3242, -8.2555, -0.09735, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.99512, -0.09766,  0.00636, -1.00
754, 39474, -6.41627, -7.72942, -0.09735, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
755, 39511, -6.87265, -7.99246,  0.02731, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99512, -0.09766,  0.00636, -1.00
756, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
757, 39543, -7.30973, -8.45154,  0.15198, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
758, 39538, -7.25405, -8.8126,  0.15198, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
759, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
760, 39543, -7.30973, -8.45154,  0.15198, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
761, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
762, 39502, -6.76128, -8.71458,  0.02731, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
763, 39538, -7.25405, -8.8126,  0.15198, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
764, 39498, -6.70559, -9.07564,  0.02731, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
765, 39511, -6.87265, -7.99246,  0.02731, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99512, -0.09766,  0.00636, -1.00
766, 39547, -7.36542, -8.09048,  0.15198, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.98047, -0.19434,  0.01176, -1.00
767, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
768, 39507, -6.81697, -8.35352,  0.02731, -2.01953,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.50, -0.98047, -0.19434,  0.01176, -1.00
